surfactant,temperature_(degC),composition_(wt%),observed_phase
C16E8,20,0.2,L1
C16E8,20,0.7,S
C16E8,40,0.25,L1
C16E8,75,0.45,L1
C16E8,55,0.95,L2
C16E8,0,0.1,L1
C16E8,50,0.9,L2
C16E8,55,0.35,L1
C16E8,85,1.0,L2
C16E8,60,0.35,L1
C16E8,75,0.05,Water + L
C16E8,25,0.25,L1
C16E8,45,0.2,L1
C16E8,60,0.2,L1
C16E8,80,0.0,Water + L
C16E8,5,0.3,L1
C16E8,0,0.75,S
C16E8,40,0.65,V1
C16E8,65,0.7,La
C16E8,15,0.2,L1
C16E8,0,0.7,S
C16E8,35,0.6,H1
C16E8,85,0.4,Water + L
C16E8,10,0.45,H1
C16E8,50,0.6,H1
C16E8,10,0.3,L1
C16E8,15,0.45,H1
C16E8,30,0.85,La
C16E8,45,0.55,H1
C16E8,95,0.9,L2
C16E8,90,0.25,Water + L
C16E8,95,0.15,Water + L
C16E8,70,1.0,L2
C16E8,90,0.65,La
C16E8,20,0.0,L1
C16E8,75,0.7,La
C16E8,5,0.9,S
C16E8,0,0.95,S
C16E8,95,0.7,La
C16E8,15,0.15,L1
C16E8,65,0.9,L2
C16E8,55,0.4,L1
C16E8,25,0.05,L1
C16E8,60,0.55,V1
C16E8,95,0.0,Water + L
C16E8,45,0.5,H1
C16E8,35,0.85,La
C16E8,65,0.1,L1
C16E8,0,0.3,L1
C16E8,80,0.25,Water + L
C16E8,40,0.35,L1
C16E8,70,0.55,La
C16E8,5,0.4,H1
C16E8,15,0.95,S
C16E8,30,1.0,S
C16E8,30,0.75,La
C16E8,55,0.85,La
C16E8,50,0.55,H1
C16E8,50,0.7,La
C16E8,65,0.35,L1
C16E8,100,0.2,Water + L
C16E8,10,0.6,S
C16E8,65,0.3,L1
C16E8,70,0.15,Water + L
C16E8,0,0.25,L1
C16E8,55,1.0,L2
C16E8,50,0.3,L1
C16E8,90,0.85,L2
C16E8,75,0.25,Water + L
C16E8,5,0.1,L1
C16E8,100,0.05,Water + L
C16E8,100,0.9,L2
C16E8,90,0.7,La
C16E8,80,0.55,La
C16E8,50,0.85,La
C16E8,10,0.05,L1
C16E8,90,0.35,Water + L
C16E8,0,0.55,S
C16E8,75,0.15,Water + L
C16E8,20,0.15,L1
C16E8,25,0.3,L1
C16E8,55,0.2,L1
C16E8,65,0.4,L1
C16E8,5,0.35,I1
C16E8,100,0.65,La
C16E8,100,0.25,Water + L
C16E8,35,0.5,H1
C16E8,10,0.35,L1
C16E8,100,0.95,L2
C16E8,65,0.15,L1
C16E8,75,0.55,La
C16E8,50,0.2,L1
C16E8,30,0.35,L1
C16E8,65,1.0,L2
C16E8,20,0.4,H1
C16E8,60,0.3,L1
C16E8,85,0.1,Water + L
C16E8,50,0.65,V1
C16E8,60,0.1,L1
C16E8,25,0.95,S
C16E8,55,0.45,H1
C16E8,30,0.95,S
C16E8,45,0.6,H1
C16E8,5,1.0,S
C16E8,100,0.75,L2
C16E8,30,0.3,L1
C16E8,75,0.5,L1
C16E8,25,1.0,S
