output (mV)	level (m)	temperature (F)	pressure (atm)
24.8	4.62	52.2	1.026
22.4	2.34	40.1	0.939
18.4	0.23	67.5	1.006
25.6	5.66	56.1	0.980
24.3	3.20	91.1	0.924
25.5	4.44	58.5	1.053
27.4	5.32	47.1	1.018
30.4	7.73	44.1	0.973
24.1	4.17	65.0	0.978
24.6	3.26	71.6	1.005
25.5	4.42	56.2	0.971
27.0	4.68	98.1	1.069
19.7	1.03	71.8	1.031
27.2	5.29	81.1	1.050
28.0	6.72	68.3	1.045
23.6	3.37	41.7	1.009
28.3	6.11	47.4	1.042
24.1	3.45	39.6	1.000
31.8	7.55	69.4	1.096
26.4	5.74	80.5	0.997
25.8	4.78	91.9	0.978
28.0	5.76	61.6	0.990
28.3	6.50	77.2	0.972
25.5	3.62	83.4	0.976
24.7	5.20	51.0	0.984
29.2	7.52	50.6	0.967
26.9	4.99	49.8	1.018
25.1	4.46	73.0	0.990
22.9	3.59	91.8	0.973
26.4	4.79	48.3	1.024
27.2	5.31	40.7	0.993
32.3	9.25	38.3	1.004
20.5	2.09	72.8	1.039
28.5	6.25	63.2	1.014
25.4	5.77	75.6	0.907
21.7	1.47	53.3	0.984
25.5	4.58	71.7	1.054
28.7	5.50	76.9	0.996
30.2	7.98	85.9	0.985
26.3	5.31	47.1	0.962
23.6	4.56	58.6	1.033
22.9	4.12	88.6	0.994
31.6	7.68	73.2	1.063
28.0	5.80	46.0	1.008
22.5	2.59	39.4	0.977
26.3	4.68	33.6	1.028
26.7	5.13	86.3	0.988
23.0	2.87	76.9	0.982
21.5	2.07	79.9	1.023
30.5	7.34	59.6	0.976
28.4	6.69	83.8	0.997
25.8	3.51	91.1	1.056
25.8	5.32	60.2	0.990
24.4	3.26	60.2	1.003
21.1	1.80	52.7	1.014
30.0	7.40	94.1	0.956
24.0	3.62	64.8	0.957
27.7	6.52	84.8	0.958
32.0	9.10	50.8	0.920
24.6	2.88	69.5	1.034
26.1	5.77	53.8	0.955
28.2	6.48	81.6	0.984
24.5	3.93	84.6	1.060
27.8	5.15	51.0	1.039
27.4	4.75	70.8	1.011
29.5	7.27	64.1	0.976
28.3	6.26	54.0	0.977
25.6	5.28	68.5	1.067
31.9	8.16	59.5	1.021
27.2	5.29	92.9	1.030
25.8	4.25	85.7	0.977
24.9	4.61	87.9	1.010
30.5	7.79	73.1	1.002
21.8	2.59	56.1	0.960
24.1	3.40	48.1	0.943
22.9	4.19	75.2	0.948
24.2	3.72	67.9	1.035
31.8	8.44	50.5	1.043
26.3	4.56	90.4	0.975
27.4	5.52	69.4	0.963
31.6	8.68	84.6	0.927
29.7	7.28	87.2	1.049
30.5	6.68	64.9	1.018
20.9	1.37	52.9	0.989
30.2	7.25	83.7	1.038
29.0	5.35	50.8	1.054
26.6	4.68	65.0	1.006
30.1	6.99	73.3	1.031
30.1	6.40	68.5	1.032
27.0	5.28	46.0	0.992
24.1	2.98	52.3	0.973
31.1	8.03	71.2	1.075
24.9	3.50	61.4	1.016
31.4	9.19	96.7	0.937
27.1	5.12	61.0	1.044
32.3	8.01	65.7	1.010
31.9	8.43	81.1	0.950
30.1	7.68	43.4	1.066
27.3	5.64	66.3	0.969
27.1	5.66	54.2	1.033
