surfactant,temperature_(degC),composition_(wt%),observed_phase
C16E8,0,0.0,L1
C16E8,0,0.05,L1
C16E8,0,0.1,L1
C16E8,0,0.15,L1
C16E8,0,0.2,L1
C16E8,0,0.25,L1
C16E8,0,0.3,L1
C16E8,0,0.35,I1
C16E8,0,0.4,H1
C16E8,0,0.45,H1
C16E8,0,0.5,S
C16E8,0,0.55,S
C16E8,0,0.6,S
C16E8,0,0.65,S
C16E8,0,0.7,S
C16E8,0,0.75,S
C16E8,0,0.8,S
C16E8,0,0.85,S
C16E8,0,0.9,S
C16E8,0,0.95,S
C16E8,0,1.0,S
C16E8,5,0.0,L1
C16E8,5,0.05,L1
C16E8,5,0.1,L1
C16E8,5,0.15,L1
C16E8,5,0.2,L1
C16E8,5,0.25,L1
C16E8,5,0.3,L1
C16E8,5,0.35,I1
C16E8,5,0.4,H1
C16E8,5,0.45,H1
C16E8,5,0.5,H1
C16E8,5,0.55,S
C16E8,5,0.6,S
C16E8,5,0.65,S
C16E8,5,0.7,S
C16E8,5,0.75,S
C16E8,5,0.8,S
C16E8,5,0.85,S
C16E8,5,0.9,S
C16E8,5,0.95,S
C16E8,5,1.0,S
C16E8,10,0.0,L1
C16E8,10,0.05,L1
C16E8,10,0.1,L1
C16E8,10,0.15,L1
C16E8,10,0.2,L1
C16E8,10,0.25,L1
C16E8,10,0.3,L1
C16E8,10,0.35,L1
C16E8,10,0.4,H1
C16E8,10,0.45,H1
C16E8,10,0.5,H1
C16E8,10,0.55,H1
C16E8,10,0.6,S
C16E8,10,0.65,S
C16E8,10,0.7,S
C16E8,10,0.75,S
C16E8,10,0.8,S
C16E8,10,0.85,S
C16E8,10,0.9,S
C16E8,10,0.95,S
C16E8,10,1.0,S
C16E8,15,0.0,L1
C16E8,15,0.05,L1
C16E8,15,0.1,L1
C16E8,15,0.15,L1
C16E8,15,0.2,L1
C16E8,15,0.25,L1
C16E8,15,0.3,L1
C16E8,15,0.35,L1
C16E8,15,0.4,H1
C16E8,15,0.45,H1
C16E8,15,0.5,H1
C16E8,15,0.55,H1
C16E8,15,0.6,H1
C16E8,15,0.65,S
C16E8,15,0.7,S
C16E8,15,0.75,S
C16E8,15,0.8,S
C16E8,15,0.85,S
C16E8,15,0.9,S
C16E8,15,0.95,S
C16E8,15,1.0,S
C16E8,20,0.0,L1
C16E8,20,0.05,L1
C16E8,20,0.1,L1
C16E8,20,0.15,L1
C16E8,20,0.2,L1
C16E8,20,0.25,L1
C16E8,20,0.3,L1
C16E8,20,0.35,L1
C16E8,20,0.4,H1
C16E8,20,0.45,H1
C16E8,20,0.5,H1
C16E8,20,0.55,H1
C16E8,20,0.6,H1
C16E8,20,0.65,S
C16E8,20,0.7,S
C16E8,20,0.75,S
C16E8,20,0.8,S
C16E8,20,0.85,S
C16E8,20,0.9,S
C16E8,20,0.95,S
C16E8,20,1.0,S
C16E8,25,0.0,L1
C16E8,25,0.05,L1
C16E8,25,0.1,L1
C16E8,25,0.15,L1
C16E8,25,0.2,L1
C16E8,25,0.25,L1
C16E8,25,0.3,L1
C16E8,25,0.35,L1
C16E8,25,0.4,H1
C16E8,25,0.45,H1
C16E8,25,0.5,H1
C16E8,25,0.55,H1
C16E8,25,0.6,H1
C16E8,25,0.65,H1
C16E8,25,0.7,H1
C16E8,25,0.75,S
C16E8,25,0.8,S
C16E8,25,0.85,S
C16E8,25,0.9,S
C16E8,25,0.95,S
C16E8,25,1.0,S
C16E8,30,0.0,L1
C16E8,30,0.05,L1
C16E8,30,0.1,L1
C16E8,30,0.15,L1
C16E8,30,0.2,L1
C16E8,30,0.25,L1
C16E8,30,0.3,L1
C16E8,30,0.35,L1
C16E8,30,0.4,H1
C16E8,30,0.45,H1
C16E8,30,0.5,H1
C16E8,30,0.55,H1
C16E8,30,0.6,H1
C16E8,30,0.65,H1
C16E8,30,0.7,V1
C16E8,30,0.75,La
C16E8,30,0.8,La
C16E8,30,0.85,La
C16E8,30,0.9,S
C16E8,30,0.95,S
C16E8,30,1.0,S
C16E8,35,0.0,L1
C16E8,35,0.05,L1
C16E8,35,0.1,L1
C16E8,35,0.15,L1
C16E8,35,0.2,L1
C16E8,35,0.25,L1
C16E8,35,0.3,L1
C16E8,35,0.35,L1
C16E8,35,0.4,H1
C16E8,35,0.45,H1
C16E8,35,0.5,H1
C16E8,35,0.55,H1
C16E8,35,0.6,H1
C16E8,35,0.65,V1
C16E8,35,0.7,V1
C16E8,35,0.75,La
C16E8,35,0.8,La
C16E8,35,0.85,La
C16E8,35,0.9,L2
C16E8,35,0.95,L2
C16E8,35,1.0,S
C16E8,40,0.0,L1
C16E8,40,0.05,L1
C16E8,40,0.1,L1
C16E8,40,0.15,L1
C16E8,40,0.2,L1
C16E8,40,0.25,L1
C16E8,40,0.3,L1
C16E8,40,0.35,L1
C16E8,40,0.4,H1
C16E8,40,0.45,H1
C16E8,40,0.5,H1
C16E8,40,0.55,H1
C16E8,40,0.6,H1
C16E8,40,0.65,V1
C16E8,40,0.7,V1
C16E8,40,0.75,La
C16E8,40,0.8,La
C16E8,40,0.85,La
C16E8,40,0.9,L2
C16E8,40,0.95,L2
C16E8,40,1.0,S
C16E8,45,0.0,L1
C16E8,45,0.05,L1
C16E8,45,0.1,L1
C16E8,45,0.15,L1
C16E8,45,0.2,L1
C16E8,45,0.25,L1
C16E8,45,0.3,L1
C16E8,45,0.35,L1
C16E8,45,0.4,H1
C16E8,45,0.45,H1
C16E8,45,0.5,H1
C16E8,45,0.55,H1
C16E8,45,0.6,H1
C16E8,45,0.65,V1
C16E8,45,0.7,La
C16E8,45,0.75,La
C16E8,45,0.8,La
C16E8,45,0.85,La
C16E8,45,0.9,L2
C16E8,45,0.95,L2
C16E8,45,1.0,L2
C16E8,50,0.0,L1
C16E8,50,0.05,L1
C16E8,50,0.1,L1
C16E8,50,0.15,L1
C16E8,50,0.2,L1
C16E8,50,0.25,L1
C16E8,50,0.3,L1
C16E8,50,0.35,L1
C16E8,50,0.4,L1
C16E8,50,0.45,H1
C16E8,50,0.5,H1
C16E8,50,0.55,H1
C16E8,50,0.6,H1
C16E8,50,0.65,V1
C16E8,50,0.7,La
C16E8,50,0.75,La
C16E8,50,0.8,La
C16E8,50,0.85,La
C16E8,50,0.9,L2
C16E8,50,0.95,L2
C16E8,50,1.0,L2
C16E8,55,0.0,L1
C16E8,55,0.05,L1
C16E8,55,0.1,L1
C16E8,55,0.15,L1
C16E8,55,0.2,L1
C16E8,55,0.25,L1
C16E8,55,0.3,L1
C16E8,55,0.35,L1
C16E8,55,0.4,L1
C16E8,55,0.45,H1
C16E8,55,0.5,H1
C16E8,55,0.55,H1
C16E8,55,0.6,V1
C16E8,55,0.65,La
C16E8,55,0.7,La
C16E8,55,0.75,La
C16E8,55,0.8,La
C16E8,55,0.85,La
C16E8,55,0.9,L2
C16E8,55,0.95,L2
C16E8,55,1.0,L2
C16E8,60,0.0,L1
C16E8,60,0.05,L1
C16E8,60,0.1,L1
C16E8,60,0.15,L1
C16E8,60,0.2,L1
C16E8,60,0.25,L1
C16E8,60,0.3,L1
C16E8,60,0.35,L1
C16E8,60,0.4,L1
C16E8,60,0.45,L1
C16E8,60,0.5,L1
C16E8,60,0.55,V1
C16E8,60,0.6,V1
C16E8,60,0.65,La
C16E8,60,0.7,La
C16E8,60,0.75,La
C16E8,60,0.8,La
C16E8,60,0.85,L2
C16E8,60,0.9,L2
C16E8,60,0.95,L2
C16E8,60,1.0,L2
C16E8,65,0.0,Water + L
C16E8,65,0.05,Water + L
C16E8,65,0.1,L1
C16E8,65,0.15,L1
C16E8,65,0.2,L1
C16E8,65,0.25,L1
C16E8,65,0.3,L1
C16E8,65,0.35,L1
C16E8,65,0.4,L1
C16E8,65,0.45,L1
C16E8,65,0.5,L1
C16E8,65,0.55,La
C16E8,65,0.6,La
C16E8,65,0.65,La
C16E8,65,0.7,La
C16E8,65,0.75,La
C16E8,65,0.8,La
C16E8,65,0.85,L2
C16E8,65,0.9,L2
C16E8,65,0.95,L2
C16E8,65,1.0,L2
C16E8,70,0.0,Water + L
C16E8,70,0.05,Water + L
C16E8,70,0.1,Water + L
C16E8,70,0.15,Water + L
C16E8,70,0.2,Water + L
C16E8,70,0.25,Water + L
C16E8,70,0.3,L1
C16E8,70,0.35,L1
C16E8,70,0.4,L1
C16E8,70,0.45,L1
C16E8,70,0.5,L1
C16E8,70,0.55,La
C16E8,70,0.6,La
C16E8,70,0.65,La
C16E8,70,0.7,La
C16E8,70,0.75,La
C16E8,70,0.8,La
C16E8,70,0.85,L2
C16E8,70,0.9,L2
C16E8,70,0.95,L2
C16E8,70,1.0,L2
C16E8,75,0.0,Water + L
C16E8,75,0.05,Water + L
C16E8,75,0.1,Water + L
C16E8,75,0.15,Water + L
C16E8,75,0.2,Water + L
C16E8,75,0.25,Water + L
C16E8,75,0.3,Water + L
C16E8,75,0.35,Water + L
C16E8,75,0.4,L1
C16E8,75,0.45,L1
C16E8,75,0.5,L1
C16E8,75,0.55,La
C16E8,75,0.6,La
C16E8,75,0.65,La
C16E8,75,0.7,La
C16E8,75,0.75,La
C16E8,75,0.8,La
C16E8,75,0.85,L2
C16E8,75,0.9,L2
C16E8,75,0.95,L2
C16E8,75,1.0,L2
C16E8,80,0.0,Water + L
C16E8,80,0.05,Water + L
C16E8,80,0.1,Water + L
C16E8,80,0.15,Water + L
C16E8,80,0.2,Water + L
C16E8,80,0.25,Water + L
C16E8,80,0.3,Water + L
C16E8,80,0.35,Water + L
C16E8,80,0.4,L1
C16E8,80,0.45,L1
C16E8,80,0.5,L1
C16E8,80,0.55,La
C16E8,80,0.6,La
C16E8,80,0.65,La
C16E8,80,0.7,La
C16E8,80,0.75,La
C16E8,80,0.8,La
C16E8,80,0.85,L2
C16E8,80,0.9,L2
C16E8,80,0.95,L2
C16E8,80,1.0,L2
C16E8,85,0.0,Water + L
C16E8,85,0.05,Water + L
C16E8,85,0.1,Water + L
C16E8,85,0.15,Water + L
C16E8,85,0.2,Water + L
C16E8,85,0.25,Water + L
C16E8,85,0.3,Water + L
C16E8,85,0.35,Water + L
C16E8,85,0.4,Water + L
C16E8,85,0.45,L1
C16E8,85,0.5,L1
C16E8,85,0.55,La
C16E8,85,0.6,La
C16E8,85,0.65,La
C16E8,85,0.7,La
C16E8,85,0.75,La
C16E8,85,0.8,L2
C16E8,85,0.85,L2
C16E8,85,0.9,L2
C16E8,85,0.95,L2
C16E8,85,1.0,L2
C16E8,90,0.0,Water + L
C16E8,90,0.05,Water + L
C16E8,90,0.1,Water + L
C16E8,90,0.15,Water + L
C16E8,90,0.2,Water + L
C16E8,90,0.25,Water + L
C16E8,90,0.3,Water + L
C16E8,90,0.35,Water + L
C16E8,90,0.4,Water + L
C16E8,90,0.45,L1
C16E8,90,0.5,L1
C16E8,90,0.55,La
C16E8,90,0.6,La
C16E8,90,0.65,La
C16E8,90,0.7,La
C16E8,90,0.75,La
C16E8,90,0.8,L2
C16E8,90,0.85,L2
C16E8,90,0.9,L2
C16E8,90,0.95,L2
C16E8,90,1.0,L2
C16E8,95,0.0,Water + L
C16E8,95,0.05,Water + L
C16E8,95,0.1,Water + L
C16E8,95,0.15,Water + L
C16E8,95,0.2,Water + L
C16E8,95,0.25,Water + L
C16E8,95,0.3,Water + L
C16E8,95,0.35,Water + L
C16E8,95,0.4,Water + L
C16E8,95,0.45,Water + L
C16E8,95,0.5,L1
C16E8,95,0.55,La
C16E8,95,0.6,La
C16E8,95,0.65,La
C16E8,95,0.7,La
C16E8,95,0.75,L2
C16E8,95,0.8,L2
C16E8,95,0.85,L2
