surfactant,temperature_(degC),composition_(wt%),observed_phase,tail_length_calculated_(A),tail_volume_calculated_(A^3),head_area_calculated_(A^2),AL/V_calculated,shape_identifier_(0-L/1-V/2-Y),phase_diagram_reference
(C6)2GE8Me,0,0,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.05,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.1,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.15,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.2,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.25,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.3,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.35,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.4,H1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.45,H1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.5,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.55,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.6,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.65,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.7,La,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.75,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.8,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.85,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.9,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,0.95,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,0,1,L2,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.05,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.1,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
(C6)2GE8Me,5,0.15,L1,12.46,452.4,47.8,1.32,1,Colloid Polym Sci 272 400-408 (1994)
